feature1,feature2,target
6.3704,-9.2823,0.0000
-8.6972,-12.5108,0.0000
1.0579,-21.1108,0.0000
7.2137,-10.3284,0.0000
-2.7667,-6.7456,0.0000
5.2348,-19.4210,0.0000
-7.2569,-7.6884,0.0000
2.9364,-12.6992,0.0000
-6.2070,-11.1450,0.0000
-4.7045,-0.9203,0.0000
-12.7043,3.0131,0.0000
1.3111,-1.4825,0.0000
1.3060,-9.7861,0.0000
-5.8602,-11.5504,0.0000
-6.8752,-1.2875,0.0000
-9.8416,-7.7773,0.0000
-9.8102,-10.9164,0.0000
-9.6987,-5.0887,0.0000
-12.8212,-3.3591,0.0000
6.6186,0.1943,0.0000
-6.3428,-11.2134,0.0000
-10.2301,6.8472,0.0000
-4.6443,-9.4590,0.0000
-3.6636,9.7018,0.0000
-4.1589,-0.6796,0.0000
-2.8988,-7.4657,0.0000
-12.9976,-7.4454,0.0000
-6.4623,-0.8936,0.0000
0.8729,1.5177,0.0000
-3.0009,1.1960,0.0000
-10.2808,3.7701,0.0000
-1.4095,-7.0866,0.0000
-1.5804,-5.5290,0.0000
2.9214,5.6387,0.0000
10.2990,-14.7755,0.0000
-15.1088,-8.5313,0.0000
-3.8797,1.1332,0.0000
-2.7906,-19.1554,0.0000
-7.1434,0.7958,0.0000
-3.3893,0.3341,0.0000
-6.5563,-6.4053,0.0000
-3.6941,-2.1296,0.0000
-3.6119,-4.1669,0.0000
-9.6946,-2.3571,0.0000
-4.1473,2.9064,0.0000
3.3924,-3.7039,0.0000
-7.6270,-9.4711,0.0000
-2.0355,-4.4586,0.0000
-7.4070,-4.6948,0.0000
-9.3400,-0.1138,0.0000
-8.1299,3.5716,0.0000
-2.1756,-0.8450,0.0000
-12.6644,-3.8143,0.0000
0.1839,-11.6759,0.0000
-6.8635,-4.7717,0.0000
-14.6118,-2.7939,0.0000
0.9231,-11.0166,0.0000
-2.5462,-14.1860,0.0000
-5.2709,-16.3104,0.0000
2.8499,-2.1377,0.0000
-5.1723,-10.4261,0.0000
3.9163,8.7697,0.0000
-18.0059,3.6531,0.0000
6.3936,-2.6339,0.0000
-13.3949,1.0434,0.0000
-6.2664,-9.2274,0.0000
-13.6104,-1.1462,0.0000
0.5496,-9.3647,0.0000
-1.3560,-13.0104,0.0000
0.6130,-4.6740,0.0000
-6.3060,-5.7122,0.0000
1.0822,0.2529,0.0000
-1.2937,-4.0361,0.0000
-4.4553,-0.6713,0.0000
-3.3725,-0.2221,0.0000
-7.1708,-22.0439,0.0000
2.2718,10.3089,0.0000
-1.9104,-5.7011,0.0000
-5.9551,-5.8334,0.0000
-4.8781,-12.8541,0.0000
-8.6197,-11.9792,0.0000
-3.2584,-7.0765,0.0000
-1.5335,-6.2229,0.0000
1.9043,-3.5053,0.0000
10.3349,-18.2745,0.0000
-9.5284,1.3104,0.0000
12.6983,-6.7404,0.0000
-4.6943,-6.5842,0.0000
4.3202,-7.0112,0.0000
-0.2395,-7.2386,0.0000
-13.9079,-2.8052,0.0000
-1.4777,4.0526,0.0000
-5.7731,-9.3215,0.0000
-1.0607,-3.3148,0.0000
