feature1,feature2,target
-8.8783,-1.9868,0
-4.6383,-6.8791,0
-8.4632,-4.7916,0
-9.2396,-1.8369,0
-5.8531,-4.4995,0
-9.5583,-3.3551,0
-4.5876,-5.9555,0
-8.1828,-3.3727,0
-5.255,-5.9865,0
-4.6774,-4.4983,0
-1.8558,-6.5253,0
-6.5572,-2.7321,0
-7.3945,-3.5725,0
-5.401,-5.9224,0
-4.0567,-5.1933,0
-3.8133,-6.7478,0
-4.1399,-7.0554,0
-3.585,-6.4329,0
-2.4641,-7.2044,0
-7.9963,-0.9543,0
-5.2207,-6.0346,0
-2.2183,-5.3882,0
-5.5582,-5.3426,0
-3.9199,-3.1099,0
-4.8185,-4.3087,0
-5.8858,-4.6123,0
-2.8234,-7.6707,0
-4.1421,-5.0283,0
-6.1214,-2.5619,0
-4.9799,-3.7683,0
-2.5138,-5.7144,0
-6.2989,-4.1227,0
-6.0897,-4.0171,0
-6.3259,-1.5248,0
-10.6238,-1.3512,0
-2.2933,-8.4201,0
-4.7199,-4.041,0
-7.0995,-5.7603,0
-3.765,-5.0641,0
-4.9493,-3.9731,0
-4.6703,-5.6136,0
-5.1058,-4.3143,0
-5.3365,-4.4952,0
-3.3103,-6.1557,0
-4.4598,-3.9429,0
-7.4124,-2.3258,0
-4.6556,-6.2478,0
-5.8437,-4.0469,0
-4.2397,-5.6986,0
-3.1912,-5.8216,0
-3.1856,-5.0826,0
-5.4362,-3.7243,0
-2.5576,-7.2029,0
-7.2453,-4.1034,0
-4.4122,-5.5417,0
-1.8643,-7.69,0
-7.4027,-3.8128,0
-6.6715,-5.1843,0
-6.0604,-6.2246,0
-7.0897,-2.332,0
-5.4959,-5.6003,0
-6.3111,-0.907,0
-0.1845,-8.0673,0
-8.2138,-1.3082,0
-1.8455,-6.9336,0
-5.0432,-5.8108,0
-2.0014,-7.2201,0
-7.1227,-3.7591,0
-6.9135,-4.7049,0
-6.6681,-3.2661,0
-4.6762,-5.4677,0
-6.3126,-2.6262,0
-6.0258,-3.7795,0
-4.7278,-4.3977,0
-5.0106,-4.0242,0
-6.0638,-7.3795,0
-5.6573,-1.2499,0
-6.0071,-4.1345,0
-4.7947,-5.3736,0
-5.8303,-5.7565,0
-4.6081,-6.8019,0
-5.7375,-4.682,0
-6.174,-4.073,0
-6.9413,-2.7567,0
-10.9881,-1.6938,0
-2.9902,-5.7349,0
-10.5392,0.1876,0
-5.2527,-5.0674,0
-8.0276,-2.3787,0
-6.6688,-3.7835,0
-2.0788,-7.4778,0
-5.153,-3.0181,0
-5.2022,-5.6708,0
-6.0236,-3.636,0
-5.6471,-4.4563,0
-7.2002,-2.2773,0
-8.2548,-0.174,0
-7.5488,-4.7527,0
-5.9805,-3.4251,0
-5.9818,-2.5412,0
9.4331,7.7323,1
10.5751,8.1895,1
9.5805,3.9295,1
10.872,3.8686,1
11.7572,7.0092,1
7.7432,6.358,1
5.2213,9.9492,1
11.2431,5.9955,1
6.3701,9.0148,1
5.1054,11.0771,1
4.9254,11.7856,1
4.7706,11.3841,1
12.3194,7.1445,1
9.0172,6.7016,1
9.3419,6.3704,1
7.6279,8.6575,1
7.865,10.6695,1
7.3836,6.8725,1
10.0373,5.0212,1
12.1349,5.0319,1
8.837,6.7232,1
7.0165,7.0084,1
10.3042,6.65,1
6.3745,8.9987,1
3.236,10.9174,1
8.5686,7.1049,1
15.2951,3.445,1
6.4843,8.0385,1
4.0629,12.7653,1
6.6596,8.4819,1
6.6958,7.1465,1
6.0487,9.4217,1
8.5656,9.1343,1
7.5816,8.7896,1
6.895,8.068,1
7.3179,10.8648,1
7.0161,10.2354,1
9.2474,5.5254,1
11.9279,5.8148,1
9.529,8.4506,1
9.3493,6.0319,1
8.4491,8.854,1
8.0204,8.2782,1
8.0902,8.1604,1
10.4256,5.6888,1
8.3556,7.564,1
6.4743,8.5631,1
7.969,7.6105,1
7.6697,9.4401,1
10.4411,6.3875,1
2.5775,11.3419,1
9.1384,5.6163,1
9.7396,8.5555,1
7.4805,7.5371,1
6.2568,8.8949,1
5.8327,10.599,1
4.5863,10.4784,1
2.1537,15.0125,1
6.5752,9.3524,1
8.9256,5.8472,1
7.7247,7.1478,1
6.8162,8.0155,1
7.3586,9.9936,1
10.3407,7.346,1
9.3217,8.3122,1
7.8641,9.7231,1
10.0395,5.8095,1
4.484,10.6419,1
10.9479,2.3048,1
11.822,1.1881,1
9.7773,8.0308,1
9.1669,7.2907,1
8.2394,7.7727,1
8.2336,7.52,1
6.1902,8.1467,1
6.5077,10.7934,1
8.9833,8.1557,1
9.1079,6.1323,1
7.534,8.197,1
8.4764,6.5726,1
9.8467,7.4815,1
12.3717,4.1268,1
9.0162,8.0131,1
4.9398,7.1251,1
6.9891,9.4695,1
7.6222,7.715,1
5.8979,9.518,1
4.5071,12.2911,1
2.9095,11.9796,1
12.2303,4.7806,1
6.2161,9.8339,1
10.9476,4.419,1
6.5588,9.1807,1
8.122,7.6299,1
9.6042,5.642,1
12.2763,6.224,1
9.3461,7.3293,1
10.7296,6.3941,1
12.6245,4.6774,1
9.5674,9.4174,1
